date,price_usd,hashrate_th_s,difficulty,transactions_count,miners_revenue_usd,electricity_price_usd_kwh,efficiency_j_th,miners_revenue_btc
2023-11-05,35088.05,506127391.02463263,62463471666732.88,673375.0,38240754.28128319,0.0761,17.5,1089.8512251687737
2023-11-06,35048.35,394344654.35661566,62463471666733.0,439319.0,30426194.06464776,0.0761,17.5,868.1205838405449
2023-11-07,35035.12,412975110.4679518,62463471666733.0,450371.0,32192116.297135763,0.0761,17.5,918.8527482462101
2023-11-08,35436.28,462656326.7648482,62463471666732.97,583201.0,37138019.60283096,0.0761,17.5,1048.0225238888213
2023-11-09,35629.52,444025870.65351206,62463471666733.0,573466.0,42386514.03814367,0.0761,17.5,1189.645946342911
2023-11-10,36696.25,478181706.8576284,62463471666732.94,523831.0,41589897.60578385,0.0761,17.5,1133.3555228608877
2023-11-11,37321.65,496812162.9689646,62463471666732.9,627529.0,42293293.39069208,0.0761,17.5,1133.2107072086062
2023-11-12,37140.27,506083624.1310116,63233946844737.766,703327.0,44174930.492356926,0.0761,17.5,1189.4078985520819
2023-11-13,37058.98,389037994.7160368,64678587803497.0,428507.0,31884004.88571462,0.0761,17.5,860.358403974276
2023-11-14,36497.35,443696225.3786205,64678587803497.0,523422.0,34961118.48011874,0.0761,17.5,957.9084092439242
2023-11-15,35545.97,475848125.7683755,64678587803496.95,561942.0,38830543.63060188,0.0761,17.5,1092.403544778828
2023-11-16,37891.48,475848125.7683755,64678587803496.95,628426.0,45968659.957687706,0.0761,17.5,1213.1661248831585
2023-11-17,36155.5,482278505.8463265,64678587803496.93,536644.0,43669781.8707609,0.0761,17.5,1207.8323317548063
2023-11-18,36624.3,479063315.8073509,64678587803496.94,629266.0,46206459.47486679,0.0761,17.5,1261.6339281533515
2023-11-19,36588.13,546582306.6258367,64678587803496.82,710579.0,46808749.511597805,0.0761,17.5,1279.342494727055
2023-11-20,37396.17,533721546.4699348,64678587803496.84,640670.0,45344546.35534512,0.0761,17.5,1212.5451979532963
2023-11-21,37479.96,488708885.9242776,64678587803496.92,522593.0,41691019.301160336,0.0761,17.5,1112.3549571867295
2023-11-22,35808.95,456556985.5345224,64678587803496.98,535829.0,38112934.25756094,0.0761,17.5,1064.3410169122787
2023-11-23,37427.42,472632935.7294,64678587803496.95,587706.0,42565103.66364608,0.0761,17.5,1137.270580329771
2023-11-24,37297.56,540151926.5478858,64678587803496.84,623898.0,43175803.34623592,0.0761,17.5,1157.6039651450637
2023-11-25,37720.5,511215216.1971062,64678587803496.88,617234.0,41000040.53691879,0.0761,17.5,1086.9431883702175
2023-11-26,37800.94,492891191.481606,67912869716769.22,578484.0,37350394.61475252,0.0761,17.5,988.0811063098569
2023-11-27,37468.89,439166010.2949663,67957790298898.0,479487.0,33990153.118594855,0.0761,17.5,907.1566603279375
2023-11-28,37248.86,496595411.6412311,67957790298898.0,447662.0,37326757.10887134,0.0761,17.5,1002.0912615546177
2023-11-29,37832.75,459435210.7701186,67957790298898.0,360588.0,34687799.69065694,0.0761,17.5,916.8722784005112
2023-11-30,37867.37,452678810.6117344,67957790298898.0,411882.0,34288709.36377425,0.0761,17.5,905.4948723339975
2023-12-01,37711.79,570915813.3834561,67957790298898.0,496468.0,44330443.88131468,0.08070000000000001,17.5,1175.50622448085
2023-12-02,38697.81,429031410.0573902,67957790298898.0,429362.0,33852262.01674702,0.08070000000000001,17.5,874.7849559638394
2023-12-03,39476.4,557403013.066688,67957790298898.0,707876.0,46347878.82500001,0.08070000000000001,17.5,1174.0654878611022
2023-12-04,39976.04,523621012.2747674,67957790298898.0,570395.0,46775809.09590795,0.08070000000000001,17.5,1170.096114970566
2023-12-05,41985.55,466191610.9285027,67957790298898.0,514962.0,46391610.44417968,0.08070000000000001,17.5,1104.9423062024832
2023-12-06,44076.76,459435210.7701186,67957790298898.0,467795.0,50935074.8445154,0.08070000000000001,17.5,1155.5993417963434
2023-12-07,43745.3,388493009.1070856,67957790298898.0,372050.0,38956627.59378403,0.08070000000000001,17.5,890.5328708177569
2023-12-08,43298.7,456057010.69092655,67957790298898.0,411456.0,43486639.64278974,0.08070000000000001,17.5,1004.3405377711049
2023-12-09,44184.18,530377412.4331516,67957790298898.0,587398.0,49983455.1733174,0.08070000000000001,17.5,1131.2522982958471
2023-12-10,43709.41,469318617.5512489,67436283581404.43,536175.0,44686549.54716012,0.08070000000000001,17.5,1022.3553588840507
2023-12-11,43787.81,528635575.20314026,67305906902031.14,525486.0,47227552.40644524,0.08070000000000001,17.5,1078.5547942782534
2023-12-12,41238.31,481794448.2864064,67305906902031.055,543162.0,42108188.76068561,0.08070000000000001,17.5,1021.0939478529942
2023-12-13,41458.49,498523422.18524,67305906902031.086,587920.0,47685314.57453177,0.08070000000000001,17.5,1150.1941960387794
2023-12-14,42887.09,488486037.84593976,67305906902031.07,570985.0,53487706.78018544,0.08070000000000001,17.5,1247.1750072151187
2023-12-15,43023.24,545364549.1019738,67305906902031.17,632636.0,61874809.91705933,0.08070000000000001,17.5,1438.1717861569546
2023-12-16,41934.71,508560806.52454,67305906902031.1,638144.0,63958242.19172744,0.08070000000000001,17.5,1525.1862285855188
2023-12-17,42236.81,501869216.9650066,67305906902031.09,616808.0,64128658.06425429,0.08070000000000001,17.5,1518.3120615466532
2023-12-18,41341.9,562093523.0008074,67305906902031.19,640936.0,59706278.14765298,0.08070000000000001,17.5,1444.207405747026
2023-12-19,41264.8,542018754.3222071,67305906902031.17,662880.0,62467181.336199895,0.08070000000000001,17.5,1513.8127735067148
2023-12-20,42262.62,485140243.06617314,67305906902031.06,582506.0,57630882.3453147,0.08070000000000001,17.5,1363.6372365299335
2023-12-21,43639.9,488486037.84593976,67305906902031.07,588137.0,59081092.58587713,0.08070000000000001,17.5,1353.8319882922997
2023-12-22,43870.89,562093523.0008074,67305906902031.19,625531.0,60254531.70180586,0.08070000000000001,17.5,1373.4513182159255
2023-12-23,43996.78,560327733.6667341,70449192118839.66,608479.0,53244333.618783,0.08070000000000001,17.5,1210.1870550250042
2023-12-24,43742.33,612085087.5512694,72006146478567.25,723459.0,56344289.0489318,0.08070000000000001,17.5,1288.0952854804898
