date,avg_block_size,cost_per_tx,dificultad,dificultad_btc,fees_total_btc,hashrate,hashrate_btc,ingresos_mineros_btc,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_btc,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh,attack_hourly_cost_usd
2015-02-15,0.468847492857143,11.9361974203585,44455415962.3438,44455415962.3438,13.82078432,296125.35567405,296125.35567405,1098201.7798575,3563649873.568702,21995935.986486487,1098201.7798575,300913.0,257.5,13839416.984732825,5100737.675,85267.0,85267.0,2.322569444444444,428.6831275720165,0.0683,8670.27134950059
2015-02-16,0.414953987261147,9.41717850650103,44455415962.3438,44455415962.3438,15.3766672,349162.732809701,349162.732809701,1063594.97488124,3241798743.979592,21995935.986486487,1063594.97488124,227349.0,234.18,13843192.176870748,6828681.7746,104632.0,104632.0,2.322569444444444,427.61316872427983,0.0683,10197.639590021756
2015-02-17,0.445682409395973,9.19664636639727,44455415962.3438,44455415962.3438,15.96837665,342533.060667745,342533.060667745,1076991.66602969,3247118842.8956833,21995935.986486487,1076991.66602969,229875.0,234.5,13846988.669064749,2910492.06,102988.0,102988.0,2.322569444444444,426.5432098765432,0.0683,9978.98182600767
2015-02-18,0.361059005988024,9.99905499891464,44455415962.3438,44455415962.3438,14.96619549,355792.404951658,355792.404951658,1187677.75371608,3397498131.806818,21995935.986486487,1187677.75371608,209069.0,245.29,13850944.318181818,3219458.2319,105719.0,105719.0,2.322569444444444,425.4732510288066,0.0683,10339.264328745332
2015-02-19,0.315926873493976,11.0419780397114,44455415962.3438,44455415962.3438,13.58169837,362422.077093614,362422.077093614,1155178.61658049,3289747890.181818,21995935.986486487,1155178.61658049,180964.0,237.44,13855070.292207792,3049793.3312,94552.0,94552.0,2.322569444444444,424.40329218106996,0.0683,10505.43627888222
2015-02-20,0.382549765822785,10.2251373358161,44455415962.3438,44455415962.3438,15.10495925,366841.858521585,366841.858521585,1090408.64549142,3345464540.685811,21995935.986486487,1090408.64549142,196964.0,241.39,13859167.905405406,2095337.617,98714.0,98714.0,2.322569444444444,423.3333333333333,0.0683,10606.743216673602
2015-02-21,0.40151223943662,10.1869842131308,44455415962.3438,44455415962.3438,12.94726109,304964.918529992,304964.918529992,961956.919245941,3407223698.5444446,21995935.986486487,961956.919245941,237585.0,245.78,13862900.555555556,2304698.7224,87827.0,87827.0,2.322569444444444,422.2633744855967,0.0683,8795.367715357026
2015-02-22,0.356274112582781,11.4610454805604,44455415962.3438,44455415962.3438,12.35815172,333693.497811803,333693.497811803,1027780.71451474,3402990845.0121527,21995935.986486487,1027780.71451474,232004.0,245.41,13866553.298611112,731873.9725,84942.0,84942.0,2.322569444444444,421.1934156378601,0.0683,9599.53113136172
2015-02-23,0.404722028169014,9.13646613023398,46684376316.8603,46684376316.8603,14.52475248,317934.931985704,317934.931985704,1030310.14904036,3273096061.360465,21995935.986486487,1030310.14904036,213050.0,235.98,13870226.550387597,1828321.1244,101515.0,101515.0,2.322569444444444,420.12345679012344,0.0683,9122.96231768939
2015-02-24,0.435635046511628,7.62865199467904,46684376316.8603,46684376316.8603,14.41178545,320255.624919906,320255.624919906,833758.262454456,3314405544.596774,21995935.986486487,833758.262454456,197476.0,238.9,13873610.483870968,1509812.165,105125.0,105125.0,2.322569444444444,419.0534979423868,0.0683,9166.149582329514
